Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
696,Brent Rooker,27,KCR,AL,6,15,12,1,2,1,0,0,1,0,0,2,3,.167,.333,.250,.583,70,3,2,1,0,0,0,/7DH,rookebr01
697,Amed Rosario,26,CLE,AL,114,496,469,69,133,21,7,8,51,11,3,22,75,.284,.319,.409,.728,109,192,14,3,0,2,0,*6/7DH,rosaram01
698,Eddie Rosario*,30,ATL,NL,52,179,165,17,31,7,1,4,18,3,0,12,46,.188,.240,.315,.555,52,52,3,0,0,2,0,79/HD,rosared01
699,Darin Ruf,35,TOT,NL,100,342,293,49,64,12,0,11,44,2,0,42,92,.218,.325,.372,.697,97,109,9,5,0,2,0,3D7H/91,rufda01
700,Darin Ruf,35,SFG,NL,90,314,268,46,58,9,0,11,38,2,0,40,85,.216,.328,.373,.701,98,100,8,5,0,1,0,37DH/9,rufda01
701,Darin Ruf,35,NYM,NL,10,28,25,3,6,3,0,0,6,0,0,2,7,.240,.286,.360,.646,83,9,1,0,0,1,0,/DH371,rufda01
702,Esteury Ruiz,23,SDP,NL,14,27,27,1,6,1,1,0,2,1,2,0,5,.222,.222,.333,.556,59,9,0,0,0,0,0,/987H,ruizes01
703,Keibert Ruiz#,23,WSN,NL,98,385,349,28,85,19,0,6,32,6,1,27,48,.244,.307,.350,.657,91,122,8,6,1,2,0,*2H/D,ruizke01
704,Adley Rutschman#,24,BAL,AL,72,298,251,47,65,24,1,8,25,2,0,40,52,.259,.366,.458,.824,134,115,2,4,0,3,0,2D/H,rutscad01
705,Gary Sanchez,29,MIN,AL,87,334,302,31,66,19,0,11,42,2,0,26,91,.219,.287,.391,.678,95,118,7,4,0,2,0,2D/H3,sanchga02
706,Jesus Sanchez*,24,MIA,NL,93,325,297,36,61,12,3,12,33,1,0,24,86,.205,.271,.387,.658,83,115,7,3,0,1,0,*8/7H9,sanchje02
707,Yolmer Sanchez#,30,TOT,MLB,15,44,37,1,4,0,0,0,2,0,2,5,13,.108,.214,.108,.322,-6,4,0,0,2,0,0,4/16,sanchca01
708,Yolmer Sanchez#,30,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/6,sanchca01
709,Yolmer Sanchez#,30,BOS,AL,14,44,37,1,4,0,0,0,2,0,2,5,13,.108,.214,.108,.322,-6,4,0,0,2,0,0,4/1,sanchca01
710,Reiver Sanmartin*,26,CIN,NL,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,sanmare01
711,Miguel Sano,29,MIN,AL,20,71,60,1,5,0,0,1,3,1,0,9,25,.083,.211,.133,.345,3,8,0,1,0,1,0,3/D,sanomi01
712,Carlos Santana#,36,TOT,AL,93,364,305,32,60,14,0,11,41,0,0,55,53,.197,.321,.351,.672,94,107,6,2,0,2,2,3D/H,santaca01
713,Carlos Santana#,36,KCR,AL,52,212,176,17,38,10,0,4,21,0,0,36,28,.216,.349,.341,.690,98,60,1,0,0,0,1,3D/H,santaca01
714,Carlos Santana#,36,SEA,AL,41,152,129,15,22,4,0,7,20,0,0,19,25,.171,.283,.364,.647,89,47,5,2,0,2,1,3D/H,santaca01
715,Anthony Santander#,27,BAL,AL,112,477,420,57,108,19,0,21,66,0,2,41,87,.257,.338,.452,.790,123,190,8,12,0,4,1,*97D/H,santaan02
716,Clarke Schmidt,26,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,schmicl01
717,Jonathan Schoop,30,DET,AL,115,447,425,40,86,20,1,9,34,5,0,15,99,.202,.235,.318,.553,59,135,13,4,0,3,1,*4/3DH,schoojo01
718,Max Schrock*,27,CIN,NL,13,27,26,1,4,0,0,0,1,0,0,1,6,.154,.185,.154,.339,-7,4,0,0,0,0,0,/H947D1,schroma01
719,Kyle Schwarber*,29,PHI,NL,114,488,423,73,90,17,1,34,71,6,1,60,149,.213,.314,.499,.812,124,211,9,3,0,2,3,*7D/H,schwaky01
720,Frank Schwindel,30,CHC,NL,75,292,271,23,62,11,0,8,36,0,0,19,58,.229,.277,.358,.635,77,97,12,0,0,2,1,3D/H1,schwifr01
721,Tanner Scott,27,MIA,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,scottta01
722,Corey Seager*,28,TEX,AL,114,502,445,66,112,15,1,26,61,3,0,46,77,.252,.327,.465,.792,126,207,7,6,0,5,7,*6/D,seageco01
723,Jean Segura,32,PHI,NL,58,233,216,27,62,5,0,7,21,11,1,13,33,.287,.335,.407,.742,108,88,8,3,0,1,1,4/H,segurje01
724,Marcus Semien,31,TEX,AL,119,536,483,68,112,19,3,18,58,19,4,42,85,.232,.293,.395,.688,97,191,6,3,0,8,0,*46,semiema01
725,Nick Senzel,27,CIN,NL,86,328,292,38,71,11,0,4,21,6,3,20,64,.243,.302,.322,.624,69,94,6,5,1,1,0,*8/HD5,senzeni01
726,Brian Serven,27,COL,NL,46,149,136,16,31,3,1,5,13,0,0,11,30,.228,.291,.375,.666,78,51,4,1,1,0,0,2/H3D1,servebr01
727,Anderson Severino*,27,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,severan01
728,Pedro Severino,28,MIL,NL,8,21,18,0,4,2,0,0,1,0,0,3,7,.222,.333,.333,.667,90,6,0,0,0,0,0,/2H3D,severpe01
